Method,AUC,Overall_Acc,Acc_Class0,Prec_Class0,Rec_Class0,F1_Class0,Acc_Class1,Prec_Class1,Rec_Class1,F1_Class1,BCE_Loss,Params
DecoupledResidual,0.77 ± 0.08,,,0.94 ± 0.03,0.64 ± 0.08,0.76 ± 0.06,,0.27 ± 0.09,0.77 ± 0.10,0.39 ± 0.10,0.68 ± 0.11,"{'hidden_dim': 64, 'num_layers': 1, 'lr': 0.01}"
PatternResidual,0.81 ± 0.05,,,0.96 ± 0.03,0.62 ± 0.14,0.74 ± 0.13,,0.26 ± 0.07,0.82 ± 0.14,0.39 ± 0.09,0.64 ± 0.08,"{'hidden_dim': 128, 'num_layers': 1, 'lr': 0.001}"
PatternNoDecomp,0.78 ± 0.06,,,0.95 ± 0.03,0.63 ± 0.08,0.75 ± 0.07,,0.28 ± 0.05,0.81 ± 0.09,0.42 ± 0.06,0.65 ± 0.08,"{'hidden_dim': 128, 'num_layers': 2, 'residual_type': 'concat', 'lr': 0.001}"
DecoupledResidualNoDecomp,0.72 ± 0.07,,,0.93 ± 0.04,0.65 ± 0.12,0.76 ± 0.09,,0.23 ± 0.05,0.67 ± 0.17,0.34 ± 0.07,0.67 ± 0.05,"{'hidden_dim': 128, 'num_layers': 1, 'lr': 0.001}"
DecoupledResidual,0.77 ± 0.08,,,0.94 ± 0.03,0.64 ± 0.08,0.76 ± 0.06,,0.27 ± 0.09,0.77 ± 0.10,0.39 ± 0.10,0.68 ± 0.11,"{'hidden_dim': 64, 'num_layers': 1, 'lr': 0.01}"
PatternResidual,0.81 ± 0.05,,,0.96 ± 0.03,0.62 ± 0.14,0.74 ± 0.13,,0.26 ± 0.07,0.82 ± 0.14,0.39 ± 0.09,0.64 ± 0.08,"{'hidden_dim': 128, 'num_layers': 1, 'lr': 0.001}"
PatternNoDecomp,0.80 ± 0.06,,,0.95 ± 0.02,0.65 ± 0.05,0.77 ± 0.04,,0.28 ± 0.06,0.81 ± 0.08,0.41 ± 0.07,0.60 ± 0.08,"{'hidden_dim': 128, 'num_layers': 4, 'residual_type': 'concat', 'lr': 0.01}"
DecoupledResidualNoDecomp,0.75 ± 0.07,,,0.94 ± 0.02,0.69 ± 0.07,0.79 ± 0.04,,0.27 ± 0.09,0.69 ± 0.10,0.38 ± 0.10,0.62 ± 0.06,"{'hidden_dim': 128, 'num_layers': 1, 'lr': 0.001}"
DecoupledResidual,0.81 ± 0.06,,,0.96 ± 0.02,0.69 ± 0.06,0.80 ± 0.04,,0.30 ± 0.07,0.83 ± 0.10,0.44 ± 0.08,0.61 ± 0.08,"{'hidden_dim': 64, 'num_layers': 1, 'lr': 0.01}"
PatternResidual,0.76 ± 0.06,,,0.94 ± 0.02,0.66 ± 0.05,0.77 ± 0.04,,0.25 ± 0.09,0.72 ± 0.09,0.36 ± 0.10,0.64 ± 0.11,"{'hidden_dim': 32, 'num_layers': 2, 'lr': 0.01}"
